t,T,ferrite,pearlite,bainite,martensite,austenite,Hv
9850.0,759.9645,0.062431861329,0.0,0.0,0.0,0.937568138671,9.113260006687
9900.0,759.543,0.072107199209,0.0,0.0,0.0,0.927892800791,10.525581662203
9950.0,759.1215,0.083044279415,0.0,0.0,0.0,0.916955720585,12.122081486312
10000.0,758.7,0.09537687294,0.0,0.0,0.0,0.90462312706,13.922286204909
10050.0,758.2785,0.1092480832,0.0,0.0,0.0,0.8907519168,15.947084809579
10100.0,757.857,0.124809619429,0.0,0.0,0.0,0.875190380571,18.218622494635
10150.0,757.4355,0.142220454753,0.0,0.0,0.0,0.857779545247,20.760104774095
10200.0,757.014,0.161644662181,0.0,0.0,0.0,0.838355337819,23.595481598439
10250.0,756.5925,0.18324818105,0.0,0.0,0.0,0.81675181895,26.74897534868
10300.0,756.171,0.207194231161,0.0,0.0,0.0,0.792805768839,30.244411431308
10350.0,755.7495,0.233637072412,0.0,0.0,0.0,0.766362927588,34.104307364286
10400.0,755.328,0.262713820246,0.0,0.0,0.0,0.737286179754,38.348678067405
10450.0,754.9065,0.294534093631,0.0,0.0,0.0,0.705465906369,42.993524763758
10500.0,754.485,0.329167419363,0.0,0.0,0.0,0.670832580637,48.048996370199
10550.0,754.0635,0.366628571059,0.0,0.0,0.0,0.633371428941,53.517249410986
10600.0,753.642,0.406861399932,0.0,0.0,0.0,0.593138600068,59.390087774567
10650.0,753.2205,0.449722207934,0.0,0.0,0.0,0.550277792066,65.646535669994
10700.0,752.799,0.494964266161,0.0,0.0,0.0,0.505035733839,72.25057775823
10750.0,752.3775,0.5422255731,0.0,0.0,0.0,0.4577744269,79.149372207457
10800.0,751.956,0.591022195719,0.0,0.0,0.0,0.408977804281,86.272278683556
10850.0,751.5345,0.640749328862,0.0,0.0,0.0,0.359250671138,93.53101299122
10900.0,751.113,0.690691375125,0.0,0.0,0.0,0.309308624875,100.82111844649
10950.0,750.6915,0.740040854894,0.0,0.0,0.0,0.259959145106,108.024726199965
11000.0,750.27,0.787923967224,0.0,0.0,0.0,0.212076032776,115.014286390926
11050.0,749.8485,0.833428446044,0.0,0.0,0.0,0.166571553956,121.65663435429
11100.0,749.427,0.875627218334,0.0,0.0,0.0,0.124372781666,127.816444035718
11150.0,749.0055,0.913588902369,0.0,0.0,0.0,0.086411097631,133.357760433148
11200.0,748.584,0.946361157896,0.0,0.0,0.0,0.053638842104,138.141569201015
11250.0,748.1625,0.972896263433,0.0,0.0,0.0,0.027103736567,142.014933072015
11300.0,747.741,0.991811560479,0.0,0.0,0.0,0.008188439521,144.776023585869
11350.0,747.3195,1.0,0.0,0.0,0.0,0.0,145.97130075392
11400.0,746.898,1.0,0.0,0.0,0.0,0.0,145.97130075392
11450.0,746.4765,1.0,0.0,0.0,0.0,0.0,145.97130075392
11500.0,746.055,1.0,0.0,0.0,0.0,0.0,145.97130075392
11550.0,745.6335,1.0,0.0,0.0,0.0,0.0,145.97130075392
11600.0,745.212,1.0,0.0,0.0,0.0,0.0,145.97130075392
11650.0,744.7905,1.0,0.0,0.0,0.0,0.0,145.97130075392
11700.0,744.369,1.0,0.0,0.0,0.0,0.0,145.97130075392
11750.0,743.9475,1.0,0.0,0.0,0.0,0.0,145.97130075392
11800.0,743.526,1.0,0.0,0.0,0.0,0.0,145.97130075392
11850.0,743.1045,1.0,0.0,0.0,0.0,0.0,145.97130075392
11900.0,742.683,1.0,0.0,0.0,0.0,0.0,145.97130075392
11950.0,742.2615,1.0,0.0,0.0,0.0,0.0,145.97130075392
12000.0,741.84,1.0,0.0,0.0,0.0,0.0,145.97130075392
12050.0,741.4185,1.0,0.0,0.0,0.0,0.0,145.97130075392
12100.0,740.997,1.0,0.0,0.0,0.0,0.0,145.97130075392
12150.0,740.5755,1.0,0.0,0.0,0.0,0.0,145.97130075392
12200.0,740.154,1.0,0.0,0.0,0.0,0.0,145.97130075392
12250.0,739.7325,1.0,0.0,0.0,0.0,0.0,145.97130075392
12300.0,739.311,1.0,0.0,0.0,0.0,0.0,145.97130075392
12350.0,738.8895,1.0,0.0,0.0,0.0,0.0,145.97130075392
12400.0,738.468,1.0,0.0,0.0,0.0,0.0,145.97130075392
12450.0,738.0465,1.0,0.0,0.0,0.0,0.0,145.97130075392
12500.0,737.625,1.0,0.0,0.0,0.0,0.0,145.97130075392
12550.0,737.2035,1.0,0.0,0.0,0.0,0.0,145.97130075392
12600.0,736.782,1.0,0.0,0.0,0.0,0.0,145.97130075392
12650.0,736.3605,1.0,0.0,0.0,0.0,0.0,145.97130075392
12700.0,735.939,1.0,0.0,0.0,0.0,0.0,145.97130075392
12750.0,735.5175,1.0,0.0,0.0,0.0,0.0,145.97130075392
12800.0,735.096,1.0,0.0,0.0,0.0,0.0,145.97130075392
12850.0,734.6745,1.0,0.0,0.0,0.0,0.0,145.97130075392
12900.0,734.253,1.0,0.0,0.0,0.0,0.0,145.97130075392
12950.0,733.8315,1.0,0.0,0.0,0.0,0.0,145.97130075392
13000.0,733.41,1.0,0.0,0.0,0.0,0.0,145.97130075392
13050.0,732.9885,1.0,0.0,0.0,0.0,0.0,145.97130075392
13100.0,732.567,1.0,0.0,0.0,0.0,0.0,145.97130075392
13150.0,732.1455,1.0,0.0,0.0,0.0,0.0,145.97130075392
13200.0,731.724,1.0,0.0,0.0,0.0,0.0,145.97130075392
13250.0,731.3025,1.0,0.0,0.0,0.0,0.0,145.97130075392
13300.0,730.881,1.0,0.0,0.0,0.0,0.0,145.97130075392
13350.0,730.4595,1.0,0.0,0.0,0.0,0.0,145.97130075392
13400.0,730.038,1.0,0.0,0.0,0.0,0.0,145.97130075392
13450.0,729.6165,1.0,0.0,0.0,0.0,0.0,145.97130075392
13500.0,729.195,1.0,0.0,0.0,0.0,0.0,145.97130075392
13550.0,728.7735,1.0,0.0,0.0,0.0,0.0,145.97130075392
13600.0,728.352,1.0,0.0,0.0,0.0,0.0,145.97130075392
13650.0,727.9305,1.0,0.0,0.0,0.0,0.0,145.97130075392
13700.0,727.509,1.0,0.0,0.0,0.0,0.0,145.97130075392
13750.0,727.0875,1.0,0.0,0.0,0.0,0.0,145.97130075392
13800.0,726.666,1.0,0.0,0.0,0.0,0.0,145.97130075392
13850.0,726.2445,1.0,0.0,0.0,0.0,0.0,145.97130075392
13900.0,725.823,1.0,0.0,0.0,0.0,0.0,145.97130075392
13950.0,725.4015,1.0,0.0,0.0,0.0,0.0,145.97130075392
14000.0,724.98,1.0,0.0,0.0,0.0,0.0,145.97130075392
14050.0,724.5585,1.0,0.0,0.0,0.0,0.0,145.97130075392
14100.0,724.137,1.0,0.0,0.0,0.0,0.0,145.97130075392
14150.0,723.7155,1.0,0.0,0.0,0.0,0.0,145.97130075392
