T_pearlite,ts_pearlite,tf_pearlite,tm_perlite,tau_perlite,xsi_eq_perlite
663.75,0.24967806996846853,4.660028014537838,12.575480488499355,842.1428987971047,33.73414990380309
664.75,0.259609571641138,4.845391014287532,13.077490619758024,859.6215748344373,33.11709120426153
665.75,0.2702201152883128,5.043427752762623,13.613894650738304,878.2953123115509,32.50795849747134
666.75,0.2815710664582959,5.255283565531651,14.187804452802638,898.2721098548359,31.90714564688111
667.75,0.293730759175721,5.482233848824569,14.802685404719774,919.6722300709216,31.315041906046183
668.75,0.3067754506752493,5.725701878822087,15.462404821871647,942.629879804259,30.732031320439965
669.75,0.3207904300472701,5.98727950358118,16.171288190949866,967.2951612679436,30.158492109813714
670.75,0.3358713094628426,6.268751242646251,16.934184663727905,993.8363444999065,29.59479603076446
671.75,0.3521255327302759,6.572122442969762,17.75654357205413,1022.4425223060041,29.041307719130725
672.75,0.3696741434773465,6.899652280523762,18.644504108584904,1053.3267221241827,28.498384011868367
673.75,0.3886538646408804,7.253892572197573,19.605000793844074,1086.7295657655654,27.96637324795757
674.75,0.4092195526847214,7.637733581680897,20.64588794532484,1122.923588648564,27.44561454808395
675.75,0.431547104717126,8.05445827832805,21.776087112427756,1162.2183561010058,26.936437072579693
676.75,0.45583691530389103,8.507806855623755,23.005762385256055,1204.9665470843051,26.43915925739997
677.75,0.4823180034144239,9.002053757108184,24.34652968428095,1251.571217299867,25.95408802758862
678.75,0.5112529601085618,9.542100020727373,25.811707667602317,1302.494506735828,25.481517987927354
679.75,0.5429439062946884,10.133584475302062,27.416619856116117,1358.2681248612887,25.021730590396203
680.75,0.5777396998852193,10.783018255931768,29.178960112220413,1419.5060346634332,24.57499327795155
681.75,0.6160446966290026,11.497948317452003,31.11923690124793,1486.9198710360452,24.141558604298172
682.75,0.6583294538406459,12.28715721040393,33.261316072091624,1561.3377785165876,23.721663329271017
683.75,0.7051438780911297,13.160908471454869,35.63308756523732,1643.7275502064215,23.315527489288367
684.75,0.7571334662631676,14.131249748830884,38.267288978281,1735.225210774114,22.923353442603204
685.75,0.8150594876231464,15.21238948345919,41.20252897235127,1837.1705353435984,22.54532488885313
686.75,0.879824221652293,16.42116795154023,44.484567046744054,1951.151466128176,22.181605862534564
687.75,0.952502729292714,17.77765024773042,48.16792461245309,2079.06002737018,21.832339699900604
688.75,1.0343831328375028,19.305878074902296,52.3179275267415,2223.1632148371696,21.49764797894391
689.75,1.127018068440609,21.034830061313837,57.01331517716657,2386.1935482661565,21.177629431983462
690.75,1.2322909383139766,22.99965830130561,62.3496000413822,2571.4656701146005,20.872358830409496
691.75,1.3525019510173124,25.24329422385281,68.44343068184328,2783.027769826406,20.581885841141826
692.75,1.490480884800512,27.81855322408048,75.43830984307913,3025.8600386070493,20.306233854427678
693.75,1.6497363267876728,30.790920085220897,83.51216221042229,3306.137318863257,20.045398782399246
694.75,1.834655274048549,34.24227436220387,92.88745598339537,3631.580386675645,19.799347828078577
695.75,2.050773131895891,38.27592966936684,103.84489424486068,4011.931127952881,19.56801822426072
696.75,2.305143434151678,43.02353419357725,116.74216316668955,4459.603217550605,19.351315941875775
697.75,2.6068508764941054,48.654646023654394,132.03994753201587,4990.585018345892,19.149114367341024
698.75,2.9677335590105303,55.39021319100909,150.33855512760368,5625.710672359162,18.96125294845707
699.75,3.403415891943056,63.52185197354683,172.4302946777325,6392.47793510584,18.787535808331118
700.75,3.9348115199448546,73.43989769379787,199.37568813153948,7327.6932062322785,18.6277303268924
701.75,4.590352125384159,85.67500342975637,232.61649183654822,8481.394051223486,18.481565689498762
702.75,5.409362996235356,100.96114210769314,274.14686944745125,9922.789940231458,18.348731402159075
703.75,6.447296566866752,120.33328607284966,326.77878150871373,11749.472875729729,18.228875772877235
704.75,7.784062307626461,145.28287736695637,394.5643889946627,14102.07735495381,18.12160435861491
705.75,9.537683122977352,178.01271274033883,483.48856084078886,17188.314576077122,18.026478377386074
706.75,11.887450563659483,221.86911591828095,602.6430605173225,21323.72382358071,17.9430130850059
707.75,15.114731927699816,282.10356730251,766.2958490688177,27003.489814922417,17.870676115930877
708.75,19.678181589542188,367.2764592181047,997.7050054647942,35034.808832017,17.80888578774827
709.75,26.359856557956256,491.98421805642806,1336.5281569024035,46794.04082017131,17.757009368752385
710.75,36.56748232398765,682.5008382691357,1854.1501945269506,64758.67393962925,17.71436130811339
711.75,53.00935420091897,989.3743396848506,2687.9071063458355,93695.09880829309,17.680201428109978
712.75,81.35145716359736,1518.3554945523035,4125.1175076496465,143575.01145681224,17.65373307792322
713.75,134.81376401163976,2516.183808689619,6836.158101029701,237664.5431715285,17.634101248423036
714.75,249.17680189524657,4650.672273906302,12635.437458266448,438934.65877887484,17.620390647449334
715.75,544.5623395660148,10163.791150581928,27614.256767808478,958790.3955269784,17.611623735043953
716.75,1591.536163588169,29704.6637272051,80705.65700890751,2801383.4789082524,17.60675871808035
717.75,8769.724945624703,163679.4290005666,444707.20623856166,15434441.438441053,17.60468750374925
718.75,755041.8196760447,14092210.951015217,38287707.28493647,1328815701.332891,17.604233611387773
